ID_P,RMS,Apeak,X-G,Y-G,Z_G,V,lat,lon,Axis_X_P,Axis_Y_P,Axis_Z_P,SYSTEM_DCR,SUBJECT_MARKER
1,0.867,1.283741477,-0.30818,1.40224,-1.1795,44.5702,43.9131466,20.4077333,10.66,48.52,40.81,BUMP,D-RED
2,0.8366,1.492897163,0.6467,-0.5099,1.2452,63.0298,43.91576,20.4076283,26.93,21.23,51.84,BREAK,D-BLUE
3,0.8727,1.247221753,1.1656,-0.4093,-0.1715,68.7222,43.9255333,20.4097016,66.74,23.44,9.82,RIGHT,D-GREEN
4,1.2907,2.372985792,-0.1437,0.1512,-2.3638,71.3535,43.9348233,20.411725,5.40,5.69,88.91,ACCELERATION,L-BLUE
5,0.3658,2.28372883,0.3082,-1.7873,1.3878,71.1793,43.9395049,20.41285,8.85,51.31,39.84,POTHOLE,L-RED
6,0.8164,1.610443858,-0.7551,-1.235,0.4029,86.8983,43.9435583,20.41367,31.55,51.61,16.84,POTHOLE,L-RED
,,,,,,,,,,,,,
